ID;Orden;Cliente;Tipo;Concepto;Oficina;Tráfico;Partner;Factura;Fecha factura;Moneda;Neto;IVA;Neto (local);IVA (local);Fecha económica;Fecha booking;No. asiento;Actualizado
2265;CGL26024057;JOINT PRODUCTION;income;IAD09;1000;air;C0069 JOINT PRODUCTION;;26/02/2026;MXN;3.000,00;480;3.000,00;480;07/02/2026;07/02/2026;1-003740;02/03/2026 19:01
2264;CGL26024057;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;26/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;07/02/2026;07/02/2026;1-003740;02/03/2026 19:01
2261;CGL26024107;JOINT PRODUCTION;income;IEX02;2000;road;C0081 JOINT PRODUCTION;;26/02/2026;MXN;3.600,00;576;3.600,00;576;18/02/2026;18/02/2026;2-003739;02/03/2026 19:01
2260;CGL26024107;JOINT PRODUCTION;income;ITR02;2000;road;C0081 JOINT PRODUCTION;;26/02/2026;MXN;22.000,00;3.520,00;22.000,00;3.520,00;18/02/2026;18/02/2026;2-003739;02/03/2026 19:01
2258;CGL26024106;JOINT PRODUCTION;income;ITR02;2000;road;C0081 JOINT PRODUCTION;;26/02/2026;MXN;22.000,00;3.520,00;22.000,00;3.520,00;19/02/2026;19/02/2026;2-003738;02/03/2026 19:01
2256;CGL26024075;JOINT PRODUCTION;income;ITR02;2000;road;C0081 JOINT PRODUCTION;;26/02/2026;MXN;22.000,00;3.520,00;22.000,00;3.520,00;10/02/2026;10/02/2026;2-003737;02/03/2026 19:01
2471;CGL26024071;JOINT PRODUCTION;payable;CTR08;2000;road;P0179 CAMILI FORWARDING ING;32820;25/02/2026;USD;415;0;7.144,72;0;09/02/2026;09/02/2026;8751;02/03/2026 19:02
2465;CGL26024069;JOINT PRODUCTION;payable;CAT02;2000;road;P0179 CAMILI FORWARDING ING;32810;25/02/2026;USD;415;0;7.144,72;0;09/02/2026;09/02/2026;8740;02/03/2026 19:02
2464;CGL26024069;JOINT PRODUCTION;payable;CAD02;2000;road;P0013 GRUPO CAMILI;65674;25/02/2026;MXN;2.510,00;200,8;2.510,00;200,8;09/02/2026;09/02/2026;8733;02/03/2026 19:02
2463;CGL26024069;JOINT PRODUCTION;payable;CAD07;2000;road;P0179 CAMILI FORWARDING ING;32808;25/02/2026;USD;80;0;1.377,30;0;09/02/2026;09/02/2026;8739;02/03/2026 19:02
2462;CGL26024069;JOINT PRODUCTION;payable;CAD07;2000;road;P0179 CAMILI FORWARDING ING;32809;25/02/2026;USD;80;0;1.377,30;0;09/02/2026;09/02/2026;8738;02/03/2026 19:02
2461;CGL26024069;JOINT PRODUCTION;payable;CAT02;2000;road;P0179 CAMILI FORWARDING ING;32808;25/02/2026;USD;415;0;7.144,72;0;09/02/2026;09/02/2026;8739;02/03/2026 19:02
